Year,Republican Vote Share,Democrat Vote Share,Other Party Vote Share
1896,51,46.7,2.3
1900,51.6,45.5,2.9
1904,56.4,37.6,6
1908,51.6,43,5.4
1912,23.2,41.8,35 (Roosevelt)
1916,46.1,49.2,4.7
1920,60.3,34.2,5.5
1924,54,28.8,17.2 (La Follette)
1928,58.2,49.8,1
1932,39.7,57.4,2.9
1936,36.5,60.8,2.7
1940,44.8,54.7,2.9
1944,36.5,60.8,2.7
1948,45.1,49.5,5.4
1952,55.2,44.3,0.5
1956,57.4,42,0.6
1960,49.6,49.7,0.7
1964,38.5,61.1,0.4
1968,43.4,42.7,13.9 (Wallace)
1972,60.7,37.5,1.8
1976,48,50.1,1.9
1980,50.7,41,8.3 (Anderson)
1984,58.8,40.6,0.6
1988,53.4,45.6,1
1992,37.5,43,19.5 (Perot)
1996,40.7,49.2,10.1 (Perot)
2000,47.9,48.4,3.7
2004,50.7,48.3,1
2008,45.7,52.9,1.4
2012,47.2,51.1,1.7
2016,46.1,48.2,5.7
