Country,GDP per Capita (2011),Life Expectancy (2011),Population Size (2011),Region
Albania,1965.70723,77.4,2886010,Europe
Algeria,2255.225482,76.1,36717132,Africa
Angola,629.9553062,58.1,21942296,Africa
Antigua and Barbuda,9977.957073,75.9,88152,America
Argentina,11601.63022,76,41655616,America
Armenia,1384.085162,73.5,2967984,Asia
Australia,25306.82494,82.2,"22,542,371",Oceania
Austria,27266.40335,80.7,"8,423,559",Europe
Azerbaijan,2338.896558,70.8,9227512,Asia
Bahamas,19466.99052,72.6,366711,America
Bangladesh,588.3691778,69.3,153405612,Asia
Belarus,2890.345675,70.3,9487674,Europe
Belgium,24733.62696,80.2,"11,005,175",Europe
Belize,3490.234069,71.2,329193,America
Benin,378.0517915,61.1,9779391,Africa
Bhutan,1445.760002,71.7,732246,Asia
Bolivia,1276.128614,72.1,10078238,America
Bosnia and Herzegovina,2225.290153,78.2,3832310,Europe
Botswana,4377.555741,56.5,2089706,Africa
Brazil,4803.398244,73.8,200517584,America
Brunei,17301.33869,76.9,399443,Asia
Bulgaria,2618.876037,74.2,7355231,Europe
Burkina Faso,285.8030263,59.5,16106851,Africa
Burundi,140.8125043,60.8,9790151,Africa
Cambodia,590.4521124,67.6,14593099,Asia
Cameroon,665.7982328,58.1,21119065,Africa
Canada,25933.28833,81.6,34499905,America
Cape Verde,2038.880104,71.4,495159,Africa
Central African Republic,232.623253,48.1,4530903,Africa
Chad,301.4017086,56.1,12298512,Africa
Chile,7122.938458,78.9,"17,201,305",America
China,2639.54156,74.9,"1,348,174,478",Asia
Colombia,3362.4656,77,46406446,America
Comoros,335.2192351,67.2,715972,Oceania
"Congo, Dem. Rep.",109.8092981,58.8,68087376,Africa
"Congo, Rep.",1266.356056,60.9,4177435,Africa
Costa Rica,5367.799878,79.9,4600487,America
Cote d'Ivoire,548.2314368,57,20604172,Africa
Croatia,6270.035718,77.1,4302073,Europe
Cyprus,15378.16704,81.1,1116644,Europe
Czech Republic,7926.938194,77.8,10533985,Europe
Denmark,30860.12808,79.9,"5,576,577",Europe
Dominica,6518.659877,73.4,71402,America
Dominican Republic,4176.344375,74.6,10027140,America
Ecuador,1837.008584,75.3,15177280,America
Egypt,1976.61483,70.4,83787634,Africa
El Salvador,2579.115607,74.3,6055208,America
Equatorial Guinea,8875.138212,58.7,750918,Africa
Eritrea,154.8096612,60.2,4789568,Africa
Estonia,6525.541272,76.3,1328068,Europe
Ethiopia,229.6769525,62.9,89858696,Africa
