FIPS,County,2010 Median Household Income,2014 Median Household Income,Difference
01001,Autauga,53255,54366,1111
01003,Baldwin,50147,49626,-521
01005,Barbour,33219,34971,1752
01007,Bibb,41770,39546,-2224
01009,Blount,45549,45567,18
01011,Bullock,31602,26580,-5022
01013,Butler,30659,32512,1853
01015,Calhoun,38407,41123,2716
01017,Chambers,31467,34116,2649
01019,Cherokee,40690,38013,-2677
01021,Chilton,39486,41450,1964
01023,Choctaw,31076,35049,3973
01025,Clarke,27439,36620,9181
01027,Clay,35595,35940,345
01029,Cleburne,36077,40418,4341
01031,Coffee,42253,46931,4678
01033,Colbert,39610,43057,3447
01035,Conecuh,26944,29101,2157
01037,Coosa,35560,34679,-881
01039,Covington,33852,36149,2297
01041,Crenshaw,35140,34445,-695
01043,Cullman,38567,39922,1355
01045,Dale,43353,41940,-1413
01047,Dallas,26029,26602,573
01049,DeKalb,35065,36241,1176
01051,Elmore,53128,54298,1170
01053,Escambia,31927,37077,5150
01055,Etowah,36422,39904,3482
01057,Fayette,34560,35664,1104
01059,Franklin,33942,33881,-61
01061,Geneva,34140,34425,285
01063,Greene,22222,26504,4282
01065,Hale,29299,33315,4016
01067,Henry,38379,39930,1551
01069,Houston,41022,40124,-898
01071,Jackson,36312,36923,611
01073,Jefferson,45244,44852,-392
01075,Lamar,33887,34553,666
01077,Lauderdale,39345,41324,1979
01079,Lawrence,40516,41574,1058
01081,Lee,40894,41256,362
01083,Limestone,46682,51175,4493
01085,Lowndes,29714,30675,961
01087,Macon,27544,28518,974
01089,Madison,55851,58833,2982
01091,Marengo,32940,32977,37
01093,Marion,32769,37707,4938
01095,Marshall,37661,36536,-1125
01097,Mobile,40996,42943,1947
01099,Monroe,30235,34733,4498
01101,Montgomery,43725,43054,-671
01103,Morgan,44349,45082,733
01105,Perry,25950,27403,1453
01107,Pickens,28280,31933,3653
01109,Pike,29181,31844,2663
01111,Randolph,34593,36939,2346
01113,Russell,32481,35585,3104
01115,Shelby,68380,69432,1052
01117,St. Clair,48837,50571,1734
01119,Sumter,25338,25413,75
01121,Talladega,36948,39999,3051
01123,Tallapoosa,36904,36779,-125
01125,Tuscaloosa,42311,46892,4581
01127,Walker,37191,37245,54
01129,Washington,36431,41321,4890
01131,Wilcox,23491,24035,544
01133,Winston,33685,35528,1843
