Lat,Lon,"City, State",Victim,Solved,,,
31.158231,-90.812324,"Liberty, Mississippi",Louis Allen,Unsolved,,,
35.214534,-90.196483,"Marion, Arkansas",Andrew Lee Anderson,Solved,,,
32.168755,-88.282525,"Lisman, Alabama",Frank Andrews,Unsolved,,,
35.214534,-90.196483,"Marion, Arkansas",Isadore Banks,Unsolved,,,
35.04563,-85.30968,"Chattanooga, Tennessee",John Larry Bolden,Solved,,,
29.424122,-98.493628,"San Antonio, Texas",Preston Bolden,Solved,,,
31.7735,-84.446583,"Dawson, Georgia",James Brazier,Solved,,,
32.460976,-84.987709,"Columbus, Georgia",Thomas Brewer,Solved,,,
32.366805,-86.299969,"Montgomery, Alabama",Hilliard Brooks,Solved,,,
32.298757,-90.18481,"Jackson, Mississippi",Benjamin Brown,Solved,,,
32.855133,-90.405647,"Yazoo City, Mississippi",Charles Brown,Solved,,,
32.612638,-90.036751,"Canton, Mississippi ",Gene Brown,Solved,,,
33.482068,-89.728137,"Winona, Mississippi",Jessie Brown,Solved,,,
30.847128,-90.153141,"Franklinton, Louisiana",Carrie Brumfild,Unsolved,,,
31.243787,-90.453153,"McComb, Mississippi",Eli Brumfield,Solved,,,
30.332184,-81.655651,"Jacksonville, Florida",Johnnie Mae Chappell,Unsolved,,,
28.555272,-82.387871,"Brookville, Florida",Jesse Cano,Solved,,,
32.298757,-90.18481,"Jackson, Mississippi",Silas Caston,Solved,,,
32.771523,-89.116728,"Philadelphia, Mississippi",James Chaney,Unsolved,,,
33.659826,-85.831632,"Anniston, Alabama",Thad Christian,Solved,,,
36.500428,-77.64498,"Gaston, North Carolina",Clarence Cloniger,Solved,,,
31.7735,-84.446583,"Dawson, Georgia",Willie Countryman,Solved,,,
,,,Vincent Dahmon,Solved,,,
32.184032,-86.580253,"Hayneville, Alabama",Jonathan Daniels,Solved,,,
33.976779,-89.675641,"Coffeeville, Mississippi",Woodrow Wilson Daniels,Solved,,,
30.458309,-88.966954,"Parker’s Landing, Mississippi",Henry Hezekiah Dee,Solved,,,
33.794836,-83.713229,"Monroe, Georgia",George Dorsey,Unsolved,,,
33.794836,-83.713229,"Monroe, Georgia",Mae Dorsey,Unsolved,,,
31.829604,-89.428121,"Taylorsville, Mississippi",Roman Ducksworth,Solved,,,
30.111566,-83.582106,"Perry, Florida",Joseph Dumas,Solved,,,
31.565444,-91.42595,"Vidalia, Louisiana",Joseph Edwards,Unsolved,,,
32.366805,-86.299969,"Montgomery, Alabama",Willie Edwards,Unsolved,,,
34.00678,-90.056756,"Charleston, Mississippi",James Evansington,Solved,,,
