"Liberty, Mississippi",1,Unsolved,"31.158231, -90.812324",Louis Allen,
"Marion, Arkansas",1,Solved,"35.214534, -90.196483",Andrew Lee Anderson,
"Lisman, Alabama",1,Unsolved,"32.168755, -88.282525",Frank Andrews,
"Marion, Arkansas",1,Unsolved,"35.214534, -90.196483",Isadore Banks,
"Chattanooga, Tennessee",1,Solved,"35.04563, -85.30968",John Larry Bolden,
"San Antonio, Texas",1,Solved,"29.424122, -98.493628",Preston Bolden,
"Dawson, Georgia",1,Solved,"31.7735, -84.446583",James Brazier,
"Columbus, Georgia",1,Solved,"32.460976, -84.987709",Thomas Brewer,
"Montgomery, Alabama",1,Solved,"32.366805, -86.299969",Hilliard Brooks,
"Jackson, Mississippi",1,Solved,"32.298757, -90.18481",Benjamin Brown,
"Yazoo City, Mississippi",1,Solved,"32.855133, -90.405647",Charles Brown,
"Canton, Mississippi ",1,Solved,"32.612638, -90.036751",Gene Brown,
"Winona, Mississippi",1,Solved,"33.482068, -89.728137",Jessie Brown,
"Franklinton, Louisiana",1,Unsolved,"30.847128, -90.153141",Carrie Brumfild,
"McComb, Mississippi",1,Solved,"31.243787, -90.453153",Eli Brumfield,
"Jacksonville, Florida",1,Unsolved,"30.332184, -81.655651",Johnnie Mae Chappell,
"Brookville, Florida",1,Solved,"28.555272, -82.387871",Jesse Cano,
"Jackson, Mississippi",1,Solved,"32.298757, -90.18481",Silas Caston,
"Philadelphia, Mississippi",1,Unsolved,"32.771523, -89.116728",James Chaney,
"Anniston, Alabama",1,Solved,"33.659826, -85.831632",Thad Christian,
"Gaston, North Carolina",1,Solved,"36.500428, -77.64498",Clarence Cloniger,
"Dawson, Georgia",1,Solved,"31.7735, -84.446583",Willie Countryman,
,1,Solved,,Vincent Dahmon,
"Hayneville, Alabama",1,Solved,"32.184032, -86.580253",Jonathan Daniels,
"Coffeeville, Mississippi",1,Solved,"33.976779, -89.675641",Woodrow Wilson Daniels,
"Parker’s Landing, Mississippi",1,Solved,"30.458309, -88.966954",Henry Hezekiah Dee,
"Monroe, Georgia",1,Unsolved,"33.794836, -83.713229",George Dorsey,
"Monroe, Georgia",1,Unsolved,"33.794836, -83.713229",Mae Dorsey,
"Taylorsville, Mississippi",1,Solved,"31.829604, -89.428121",Roman Ducksworth,
"Perry, Florida",1,Solved,"30.111566, -83.582106",Joseph Dumas,
"Vidalia, Louisiana",1,Unsolved,"31.565444, -91.42595",Joseph Edwards,
"Montgomery, Alabama",1,Unsolved,"32.366805, -86.299969",Willie Edwards,
"Charleston, Mississippi",1,Solved,"34.00678, -90.056756",James Evansington,
"Philadelphia, Mississippi",1,Unsolved,"32.771523, -89.116728",Andrew Goodman,
"Ringgold, Georgia",1,Unsolved,"34.91591, -85.109117",Mattie Greene,
"Vicksburg, Mississippi",1,Solved,"32.352646, -90.877882",Jasper Greenwood,
"Sturgis, Mississippi",1,Unsolved,"33.344568, -89.04534",Jimmie Lee Griffin,
"Oxford, Mississippi",1,Unsolved,"34.366495, -89.519248",Paul Guihard,
"Macon, Georgia",1,Unsolved,"32.840695, -83.632402",AC Hall,
"Hayneville, Alabama",1,Unsolved,"32.184032, -86.580253",Rogers Hamilton,
"Sidon, Mississippi",1,Solved,"33.408041, -90.208641",Adlena Hamlett,
"Orangeburg, South Carolina",1,Unsolved,"33.49182, -80.855648",Samuel Hammond,
"Winchester, Kentucky",1,Solved,"37.990079, -84.17965",Collie Hampton,
"Albany, Georgia",1,Solved,"31.578507, -84.155741",Alphonso Harris,
"Greensburg, Louisiana",1,Unsolved,"30.830738, -90.671764",Isaiah Henry,
"Villa Rica, Louisiana",1,Solved,"33.730914, -84.919239",Arthur James Hill,
"St. Marys, Georgia",1,Solved,"30.747895, -81.570611",Ernest Hunter,
"Marion, Alabama",1,Solved,"32.632354, -87.319165",Jimmie Lee Jackson,
"Philadelphia, Mississippi",1,Solved,"32.771523, -89.116728",Luther Jackson,
"Natchez, Mississippi",1,Unsolved,"31.560444, -91.403171",Wharlest Jackson,
"Clarksdale, Mississippi",1,Solved,"34.200109, -90.570932",Ernest Jells,
"Atlanta, Georgia",1,Solved,"33.748995, -84.387982",Joseph Jeter,
"Alabaster, Alabama",1,Solved,"33.244281, -86.816377",Nathan Johnson,
"Monroe, Louisiana",1,Solved,"32.509311, -92.119301",Marshall Johns,
"Sidon, Mississippi",1,Solved,"33.408041, -90.208641",Birdie Keglar,
"Cleveland, Ohio",1,Solved,"41.49932, -81.694361",Bruce Klunder,
"Brandon, Mississippi",1,Solved,"32.273202, -89.985916",William Henry Lee,
"Belzoni, Mississippi",1,Solved,"33.184291, -90.489256",George Lee,
"Liberty, Mississippi",1,Solved,"31.158231, -90.812324",Herbert Lee,
"Nashville, Tennessee",1,Solved,"36.162664, -86.781602",Richard Lillard,
"Ruleville, Mississippi",1,Solved,"33.725948, -90.551481",George Love,
"Zebulon, Georgia",1,Solved,"33.102345, -84.3427",Maybelle Mahone,
"Monroe, Georgia",1,Unsolved,"33.794836, -83.713229",Dorothy Malcolm,
"Monroe, Georgia",1,Unsolved,"33.794836, -83.713229",Roger Malcolm,
"Canton, Mississippi",1,Solved,"32.612638, -90.036751",Sylvester Maxwell,
"Andalusia, Alabama",1,Solved,"31.308504, -86.483291",Bessie McDowell,
"Monroe, Louisiana",1,Solved,"32.509311, -92.119301",Ernest McPharland,
"Pelahatchie, Mississippi",1,Solved,"32.312923, -89.79841",Robert McNair,
"Sumner, Mississippi",1,Solved,"33.970946, -90.368703",Clinton Melton,
"Orangeburg, South Carolina",1,Unsolved,"33.49182, -80.855648",Delano Middleton,
"Jackson, Georgia",1,Solved,"33.294565, -83.966021",James Andrew Miller,
"Newton, Georgia",1,Solved,"31.312957, -84.335742",Hosie Miller,
"Clarksdale, Mississippi",1,Unsolved,"34.200109, -90.570932",Booker T. Mixon,
"Cleveland, Mississippi",1,Solved,"33.744002, -90.724819",Neimiah Montgomery,
"Parker’s Landing, Mississippi",1,Solved,"30.458309, -88.966954",Charles Edward Moore,
"Mims, Florida",1,Solved,"28.665273, -80.844777",Harriette Moore,
"Mims, Florida",1,Solved,"28.665273, -80.844777",Harry Moore,
"Varnado, Louisiana",1,Unsolved,"30.893796, -89.82952",Oneal Moore,
"Attalla, Alabama",1,Unsolved,"34.021764, -86.088585",William Moore,
"Ferriday, Louisiana",1,Unsolved,"31.630166, -91.554565",Frank Morris,
"Wetumpka, Alabama",1,Solved,"32.543745, -86.211913",James Motley,
"Greenswood, Florida",1,Unsolved,"30.870189, -85.161874",Claude Neal,
"Centreville, Mississippi",1,Unsolved,"31.08962, -91.068438",Samuel O’Quinn,
"Canton, Mississippi",1,Solved,"32.612638, -90.036751",Herbert Orsby,
"New Bern, North Carolina",1,Solved,"35.108493, -77.044114",Will Owens,
"Poplarville, Mississippi",1,Unsolved,"30.840186, -89.534231",Mack Charles Parker,
"Memphis, Tennessee",1,Solved,"35.149534, -90.04898",Larry Payne,
"Columbus, Georgia",1,Solved,"32.460976, -84.987709",Charles Horatious Pickett,
"Monroe, Louisiana",1,Solved,"32.509311, -92.119301",Albert Pitts,
"Monroe, Louisiana",1,Solved,"32.509311, -92.119301",David Pitts,
"New York City, New York",1,Unsolved,"40.712784, -74.005941",Jimmy Powell,
"Corinth, Mississippi",1,Unsolved,"34.934255, -88.52227",William Roy Prather,
"Fayette, Mississippi",1,Unsolved,"31.711553, -91.060661",Johnny Queen,
"Okolona, Mississippi",1,Solved,"34.001778, -88.755329",Donald Rapsberry,
"Selma, Alabama",1,Solved,"32.407359, -87.021101",James Reeb,
"Longview, Texas",1,Solved,"32.500704, -94.740489",James Earl Reese,
"Edisto Island, South Carolina",1,Unsolved,"32.550347, -80.297137",Fred Robinson,
"Birmingham, Alabama",1,Solved,"33.520661, -86.80249",Johnnie Robinson,
"Hawkinsville, Georgia",1,Unsolved,"32.283773, -83.472118",Willie Joe Sanford,
"Philadelphia, Mississippi",1,Unsolved,"32.771523, -89.116728",Michael Schwerner,
"New Orleans, Louisiana",1,Unsolved,"29.951066, -90.071532",Marshall Scott,
"Yazoo City, Mississippi",1,Solved,"32.855133, -90.405647",Jessie James Shelby,
"Jackson, Mississippi",1,Solved,"32.298757, -90.18481",Ollie Shelby,
"Shelby, North Carolina",1,Solved,"35.292351, -81.535646",George Singleton,
"Stateline, Mississippi",1,Solved,"31.436279, -88.474466",Ed Smith,
"Orangeburg, South Carolina",1,Unsolved,"33.49182, -80.855648",Henry Smith,
"Brookhaven, Mississippi",1,Solved,"31.579059, -90.440651",Lamar Smith,
"Butler, Georgia",1,Solved,"32.55709, -84.238248",Maceo Snipes,
"Jackson, Mississippi",1,Solved,"32.298757, -90.18481",Eddie Stewart,
"Ruleville, Mississippi",1,Solved,"33.725948, -90.551481",Isaiah Taylor,
"Money, Mississippi",1,Solved,"33.651229, -90.209252",Emmett Till,
"San Antonio, Texas",1,Solved,"29.424122, -98.493628",Ann Thomas,
"Sidon, Mississippi",1,Solved,"33.408041, -90.208641",Freddie Lee Thomas,
"Hattiesburg, Mississippi",1,Solved,"31.327119, -89.290339",Selma Trigg,
"San Antonio, Texas ",1,Solved,"29.424122, -98.493628",Ladislado Ureste,
"Atlanta, Georgia",1,Solved,"33.748995, -84.387982",Hulet Varner,
"Woodville, Mississippi",1,Unsolved,"31.104619, -91.299555",Clifton Walker,
"Birmingham, Alabama",1,Solved,"33.520661, -86.80249",Virgil Ware,
"Allendal, South Carolina",1,Solved,"33.007934, -81.308441",James Waymers,
"Natchez, Mississippi",1,Solved,"31.560444, -91.403171",Ben Chester White,
"Ruston, Louisiana",1,Solved,"32.523205, -92.637927",Robert Wilder,
"Camden, Alabama",1,Solved,"31.990981, -87.290546",Rodell Williamson,
"Camden, Alabama",1,Solved,"31.990981, -87.290546",Archie Wooden,
